loss,learning_rate
1.1528213794032733,4.000001142473995e-05
1.13541175921758,4.0000045698959045e-05
1.1297560532887776,4.0000102822655985e-05
1.125392513970534,4.000018279582773e-05
1.1240525394678116,4.0000285618470494e-05
1.1180757135152817,4.000041129057961e-05
1.1132948448260624,4.000055981214911e-05
1.1100755333900452,4.000073118317162e-05
1.108544146021207,4.000092540363913e-05
1.1071285133560498,4.0001142473542416e-05
1.1048101062575977,4.000138239287107e-05
1.103739432990551,4.000164516161392e-05
1.103874107201894,4.0001930779758185e-05
1.100456342101097,4.000223924729041e-05
1.1017512505253155,4.000257056419585e-05
1.0979459633429844,4.0002924730458684e-05
1.098759728173415,4.00033017460621e-05
1.0961371113856633,4.000370161098832e-05
1.0978105515241623,4.000412432521793e-05
1.0953536679347355,4.00045698887311e-05
1.0942907532056172,4.000503830150668e-05
1.0943652838468552,4.0005529563522124e-05
1.093532641728719,4.0006043674754225e-05
1.0926106423139572,4.0006580635178375e-05
1.0943241516749065,4.00071404447692e-05
1.0934401253859203,4.000772310349982e-05
1.0960820615291595,4.0008328611342795e-05
1.092785229285558,4.0008956968268965e-05
1.0922388384739559,4.0009608174248514e-05
1.09244637688001,4.001028222925065e-05
1.090378185113271,4.001097913324306e-05
1.0910366227229435,4.0011698886192795e-05
1.0890487333138783,4.001244148806526e-05
1.093443771203359,4.0013206938825435e-05
1.0911196917295456,4.001399523843668e-05
1.093078484137853,4.001480638686158e-05
1.0896844168504078,4.001564038406133e-05
1.0909750163555145,4.0016497229996575e-05
1.088406225045522,4.0017376924626215e-05
1.0895949999491374,4.0018279467908514e-05
1.0903477470080059,4.001920485980032e-05
1.0882274707158406,4.002015310025804e-05
1.089540923635165,4.0021124189236045e-05
1.0889627287785213,4.0022118126688245e-05
1.0889939268430073,4.002313491256748e-05
1.0875828762849171,4.0024174546825176e-05
1.0885035147269566,4.0025237029412005e-05
1.089177946249644,4.0026322360277116e-05
1.0888089189926784,4.0027430539369226e-05
1.0875094433625538,4.002856156663532e-05
1.0891901701688766,4.002971544202162e-05
1.088524341583252,4.003089216547315e-05
1.090801939368248,4.003209173693398e-05
1.087246964375178,4.003331415634685e-05
1.0859982470671337,4.0034559423653767e-05
1.0856296370426815,4.003582753879531e-05
1.0889409929513931,4.003711850171141e-05
1.086139589548111,4.003843231234017e-05
1.0888418555259705,4.003976897061924e-05
1.0905074775218964,4.0041128476485085e-05
1.0849485297997792,4.0042510829872875e-05
1.0850435892740886,4.0043916030716906e-05
1.0845931122700374,4.0045344078950174e-05
1.086852252483368,4.00467949745047e-05
1.0871556252241135,4.0048268717311525e-05
1.0880312820275624,4.00497653073004e-05
1.0862300992012024,4.005128474440019e-05
1.0857028365135193,4.005282702853848e-05
1.0851024488608043,4.0054392159641653e-05
1.0857077687978745,4.0055980137635545e-05
1.0856724580128987,4.005759096244459e-05
1.08736755947272,4.0059224633991804e-05
1.0851166347662609,4.0060881152199565e-05
1.0860745360453923,4.006256051698905e-05
1.0862597276767094,4.006426272828024e-05
1.0864129016796749,4.006598778599215e-05
1.0820217902461688,4.006773569004271e-05
1.0849833289782207,4.006950644034864e-05
1.0804939319690068,4.007130003682571e-05
1.0833333432674408,4.007311647938837e-05
1.0834195589025815,4.007495576795043e-05
1.0826499313116074,4.0076817902424174e-05
1.0844370896617572,4.007870288272081e-05
1.08344017714262,4.0080610708750886e-05
1.0831372141838074,4.008254138042355e-05
1.081975909570853,4.008449489764675e-05
1.0800949210921924,4.008647126032747e-05
1.082261544962724,4.008847046837181e-05
1.084151898821195,4.0090492521684465e-05
1.0823233152429264,4.0092537420169275e-05
1.083041121562322,4.009460516372866e-05
1.082462194065253,4.0096695752264494e-05
1.0792251005768776,4.0098809185677145e-05
1.0805350293715794,4.0100945463866e-05
1.0779229576388996,4.010310458672935e-05
1.078242098291715,4.010528655416432e-05
1.0760374839107196,4.0107491366067356e-05
1.0811054483056068,4.010971902233319e-05
1.0772631466388702,4.011196952285589e-05
1.0752137551705043,4.011424286752823e-05
1.077721285323302,4.011653905624222e-05
1.0789704471826553,4.011885808888837e-05
1.0763672217726707,4.012119996535629e-05
1.07846699655056,4.012356468553464e-05
1.0771061579386394,4.012595224931056e-05
1.0756543849905331,4.012836265657074e-05
